Ranking,TOPSIS_Score,Aisa, F_a (N),Ilmajousi, F_b (N),Aisan rungon niveltappi, F_c (N),Lehtijousi etunivel, F_d (N),Lehtijousi keskinivel, F_e (N),Lehtijousi takanivel, F_f (N),B,G,A,H,K,F_1,Fg_1,Fg_2,J
1.00000000,0.85425625,8407.40740741,15614.81481481,8407.40740741,18498.14814815,36996.29629630,18498.14814815,2.71428571,3.00000000,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
2.00000000,0.85379416,6534.17721519,11868.35443038,6534.17721519,18966.45569620,37932.91139241,18966.45569620,2.85714286,3.00000000,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
3.00000000,0.85321922,6543.29113924,12246.78174147,6903.49060222,18964.17721519,37928.35443038,18964.17721519,2.85714286,2.91428571,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
4.00000000,0.85310716,8416.29629630,16106.30751964,8890.01122334,18495.92592593,36991.85185185,18495.92592593,2.71428571,2.91428571,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
5.00000000,0.85252175,6552.40506329,12672.86239281,7320.45732952,18961.89873418,37923.79746835,18961.89873418,2.85714286,2.82857143,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
6.00000000,0.85173184,8425.18518519,16660.07168459,9434.88649940,18493.70370370,36987.40740741,18493.70370370,2.71428571,2.82857143,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
7.00000000,0.85166695,6561.51898734,13156.45569620,7794.93670886,18959.62025316,37919.24050633,18959.62025316,2.85714286,2.74285714,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
8.00000000,0.85060685,6570.63291139,13710.34224098,8339.70932958,18957.34177215,37914.68354430,18957.34177215,2.85714286,2.65714286,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
9.00000000,0.85006826,8434.07407407,17288.99106003,10054.91698595,18491.48148148,36982.96296296,18491.48148148,2.71428571,2.74285714,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
10.00000000,0.84927399,6579.74683544,14351.39240506,8971.64556962,18955.06329114,37910.12658228,18955.06329114,2.85714286,2.57142857,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
11.00000000,0.84878484,10190.36144578,19180.72289157,10190.36144578,18052.40963855,36104.81927711,18052.40963855,2.57142857,3.00000000,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
12.00000000,0.84803195,8442.96296296,18009.76680384,10766.80384088,18489.25925926,36978.51851852,18489.25925926,2.71428571,2.65714286,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
13.00000000,0.84757118,6588.86075949,15102.34452394,9713.48376445,18952.78481013,37905.56962025,18952.78481013,2.85714286,2.48571429,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
14.00000000,0.84752094,4563.63636364,7927.27272727,4563.63636364,19459.09090909,38918.18181818,19459.09090909,3.00000000,3.00000000,7.00000000,1.50000000,0.80000000,80000.00000000,7000.00000000,1200.00000000,8.50000000
